"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"b" "a" "c" "c" "a" "c" "a" "c" "b" "b" "b" "b" "a" "b" "b" "b" "b" "b" "a" "b" "a" "b" "a" "a" "b" "c" "b" "c" "b" "b"
"b" "a" "c" "b" "b" "b" "b" "b" "b" "a" "b" "c" "a" "a" "a" "b" "b" "b" "a" "b" "a" "a" "a" "a" "a" "c" "b" "b" "b" "a"
"a" "b" "b" "b" "b" "b" "a" "b" "b" "b" "b" "b" "a" "c" "b" "b" "a" "b" "a" "c" "a" "c" "a" "a" "b" "c" "c" "b" "b" "a"
"b" "b" "b" "b" "b" "c" "b" "e" "b" "b" "c" "c" "a" "b" "b" "b" "c" "b" "a" "b" "b" "b" "a" "a" "b" "c" "c" "b" "b" "b"
"b" "f" "b" "b" "b" "c" "d" "g" "b" "c" "c" "c" "a" "c" "a" "b" "b" "b" "a" "g" "b" "a" "a" "a" "b" "c" "c" "b" "b" "a"
"b" "f" "b" "g" "a" "c" "f" "g" "b" "f" "c" "b" "a" "b" "b" "a" "a" "b" "a" "g" "a" "b" "a" "a" "c" "a" "b" "b" "d" "b"
"e" "f" "g" "g" "b" "c" "f" "g" "b" "f" "c" "c" "d" "b" "b" "b" "a" "a" "a" "g" "b" "b" "d" "b" "c" "e" "d" "g" "c" "c"
"f" "e" "g" "g" "c" "c" "f" "g" "c" "f" "e" "e" "e" "c" "b" "g" "b" "c" "f" "g" "b" "b" "f" "e" "g" "g" "d" "g" "g" "f"
"g" "f" "g" "g" "c" "f" "f" "f" "d" "g" "e" "d" "e" "c" "c" "g" "b" "b" "f" "g" "b" "c" "e" "e" "g" "g" "e" "g" "g" "f"
"f" "f" "g" "g" "c" "f" "f" "g" "d" "f" "e" "d" "f" "e" "c" "g" "c" "c" "f" "f" "b" "c" "f" "f" "g" "g" "e" "g" "g" "f"
"f" "f" "g" "f" "b" "g" "g" "f" "d" "f" "e" "e" "e" "e" "b" "g" "c" "c" "f" "f" "c" "c" "e" "e" "g" "g" "e" "g" "g" "f"
"f" "f" "g" "f" "e" "g" "f" "e" "e" "f" "f" "f" "f" "d" "c" "g" "d" "d" "f" "e" "d" "d" "f" "f" "f" "g" "f" "f" "g" "f"
"g" "f" "g" "e" "c" "g" "f" "e" "e" "f" "g" "f" "f" "f" "d" "f" "c" "d" "e" "d" "c" "d" "g" "e" "f" "f" "g" "f" "g" "f"
